titulo,empresa,modalidad,tipo_horario_norm,categoria,nivel_seniority,es_ti,es_remoto,largo_descripcion
analista de administración,global talent,Presencial,Full time,Otros,No especificado,False,False,95
analista de recursos humanos,inversiones bosques del mauco s.a.,Presencial,Full time,Recursos Humanos,No especificado,False,False,133
analista desarrollador en informática - providencia,empresa destacada,Presencial,Full time,Otros,No especificado,True,False,34
"analista documentos técnico, quilicura","analista documentos técnico, quilicura",Presencial,Full time,Otros,No especificado,False,False,153
analista e-commerce - híbrido,"sur talent, santiago",Presencial,Full time,Otros,No especificado,False,False,106
analista financiero/contable,danco spa,Presencial,Full time,Otros,No especificado,False,False,112
analista finanzas (contabilidad - control de gestión),tawa chile s.a.,Presencial,Otro,Otros,No especificado,False,False,162
analista finanzas corporativas y infraestructura - valuations,empresa destacada,Híbrido,Full time,DevOps / Cloud,No especificado,True,False,31
analista finanzas sap s/4hana - antofagasta,empresa confidencial,Presencial,Otro,Otros,No especificado,True,False,152
analista funcional informatico,analista funcional informatico,Remoto,Full time,TI General,No especificado,True,True,115
analista funcional informático,analista funcional informático,Remoto,Full time,Otros,No especificado,True,True,108
analista funcional sap,no especificada,Remoto,Full time,Otros,No especificado,True,True,24
analista funcional,no especificada,Híbrido,Full time,Otros,No especificado,False,False,24
analista investor relations,cencosud,Presencial,Full time,Otros,No especificado,False,False,195
analista licitación y ventas,"grupo santa maria, santiago",Presencial,Full time,Ventas / Comercial,No especificado,False,False,92
analista low code (power apps),no especificada,Híbrido,Full time,Otros,No especificado,False,False,24
analista marketing intelligence,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,32
analista objeciones clientes / lider bci,lider bci,Presencial,Otro,Otros,No especificado,False,False,138
"analista procesos de remuneraciones, la serena",esval y aguas del valle,Presencial,Full time,Otros,No especificado,False,False,153
analista programador computacional,analista programador computacional,Remoto,Full time,Desarrollo / Dev,No especificado,True,True,119
analista programador visual studio,analista programador visual studio,Remoto,Full time,Desarrollo / Dev,No especificado,True,True,140
